created_at,tweet,favorite_count,retweet_count,is_quote_status,favorited
2023-01-27 16:28:26+00:00,Voices Music Video Out now 😂 https://t.co/KFBmujYriV,12026,928,False,False
2023-01-27 14:15:33+00:00,Rah https://t.co/j6wJnxWYay,25552,1278,True,False
2023-01-27 12:25:00+00:00,@sportbible Racismo no?,440,9,False,False
2023-01-27 11:39:37+00:00,@ThomasB44923359 @PrimeHydrate @LoganPaul Good luck Amelia :),191,4,False,False
2023-01-27 00:07:46+00:00,It’s out :) https://t.co/8WekQkxPmJ,25836,1240,False,False
2023-01-26 23:30:01+00:00,30 mins till Voices is out,19305,266,False,False
2023-01-26 20:30:18+00:00,Voices Music Video Out Tomorrow https://t.co/C8JjQ51YhD,13712,996,False,False
2023-01-26 16:09:22+00:00,🙏🏿 https://t.co/WVJW53R4X1,47658,1410,True,False
2023-01-26 14:55:13+00:00,FINALLY https://t.co/ArgskPzOD6,25227,1274,True,False
2023-01-26 12:36:36+00:00,KSI: In Real Life out now on Amazon Prime Video :) https://t.co/ClfZXH4EYz,31475,1110,False,False
2023-01-25 22:13:06+00:00,"Just watched the Amazon Prime video documentary about me. One word to describe it.

Wow.",62069,946,False,False
2023-01-25 21:54:03+00:00,We have the supply lol. Tesco just told us that the security cost to protect shoppers would cost more than they were willing to spend based off the prime demand. That’s why it won’t be in Tesco. They’re waiting for the demand to go down 😅 https://t.co/0S8pPyCnD9,14576,318,True,False
2023-01-25 17:11:05+00:00,None of these are good https://t.co/SWZbMV4t9Z,11390,609,True,False
2023-01-25 16:17:09+00:00,Voices out this Friday https://t.co/ciqHCotQDW,13821,773,False,False
2023-01-25 14:54:33+00:00,This is actually a SICK idea https://t.co/zKc1WUqKSf,7667,769,True,False
2023-01-25 10:05:39+00:00,Out midnight worldwide on Amazon Prime Video https://t.co/mxXX5Us6qL,30602,1300,False,False
2023-01-24 22:00:17+00:00,Don’t talk to your father like that https://t.co/dorBgin3yd,44809,1183,True,False
2023-01-24 20:43:09+00:00,Never bet against me people https://t.co/mJBTWdcYaf,26799,921,True,False
2023-01-24 15:49:38+00:00,Idubbbz beats Wassabi,35443,446,False,False
2023-01-24 13:35:22+00:00,Once upon a time… https://t.co/J4wNevGcPO,50395,1165,False,False
2023-01-23 23:40:23+00:00,@KEEMSTAR 😂,2826,24,False,False
2023-01-23 20:29:11+00:00,@WadePlem Major yawn,3400,35,False,False
2023-01-23 20:08:25+00:00,Why did you use this pic?!?!?! https://t.co/VZg9OUeHjh,34648,1062,True,False
2023-01-23 11:53:50+00:00,👀 https://t.co/q3ENdxslqm,8048,616,True,False
2023-01-23 08:31:46+00:00,This Friday https://t.co/gq5La0z2rU,20421,897,False,False
2023-01-22 23:02:50+00:00,This video is popping off. Kai absolutely smashed it. Sooo funny man https://t.co/KnRYMlE24L,49281,1176,False,False
2023-01-22 21:54:53+00:00,“When we win” I love this mentality man https://t.co/sy9VIiqFPr,30512,1134,False,False
2023-01-22 20:04:06+00:00,@FPLAkshay_ @PrimeHydrate Sick photo,181,4,False,False
2023-01-22 00:19:20+00:00,@twrecks155 unlucky bro,1642,66,False,False
2023-01-22 00:07:59+00:00,@TheArtOfWar6 Dayum,1184,26,False,False
2023-01-21 17:34:57+00:00,@FoxTownley Delete your channel if Jay loses?,3810,30,False,False
2023-01-21 17:30:57+00:00,@Olivertree Cringe,4436,21,False,False
2023-01-21 17:19:51+00:00,Misfits 005 is looking real good 👀👀👀,43628,496,False,False
2023-01-21 16:59:20+00:00,https://t.co/WlWa5uJMNe,1685,32,False,False
2023-01-21 16:59:11+00:00,https://t.co/j6EbVgFYce,40512,1252,False,False
