created_at,tweet,favorite_count,retweet_count,is_quote_status,favorited
2023-02-04 14:28:10+00:00,@SeebyK Lost ur marbles,195,0,False,False
2023-02-04 14:20:10+00:00,Always at Goodison Park 😞,3278,65,False,False
2023-01-30 19:01:20+00:00,@AFTVMedia Sofyan Amrabat pls fffsss,1099,31,False,False
2023-01-30 18:28:52+00:00,"@SeebyK @ohnosharky Mitoma, Rashford n Martinelli",337,0,False,False
2023-01-27 19:57:13+00:00,"@SeebyK Loooooool i’ll put my hands up, stinker.",438,0,False,False
2023-01-26 19:35:51+00:00,RT @Sidemen: The collab you've all been waiting for 🤝 https://t.co/qoQxXhaB3H,0,2939,False,False
2023-01-25 20:07:25+00:00,Marcus Rashford is on 🔥,6713,202,False,False
2023-01-22 22:12:17+00:00,Celebrated that dub @ the emirates w some legends https://t.co/aFW4XjHeeg,24912,325,False,False
2023-01-21 13:56:28+00:00,"Mudryk already looks like a problem, the pace of his dribbling… oh my god.",22341,818,False,False
2023-01-19 21:22:41+00:00,City’s the only team that can make scoring 3 goals so easy…fek. Lloris smelly again,6419,130,False,False
2023-01-16 18:46:44+00:00,@ohnosharky Lol wuts urs,517,1,False,False
2023-01-16 18:43:27+00:00,"1. Casemiro 🇧🇷 
2. Rodri 🇪🇸 
3. Partey 🇬🇭 
4. Fabinho 🇧🇷 https://t.co/v8EUBygqC1",4484,106,True,False
2023-01-15 18:46:08+00:00,"@raphousetv2 Noooooo 😭😭😭😭, she was the funniest genuinely",924,5,False,False
2023-01-14 22:45:19+00:00,KSI!!! TALK TO HIM NICE 😭😭😭😭😭😭,20018,278,False,False
2023-01-14 19:21:43+00:00,Outrageous 🤣🤣🤣🤣 https://t.co/sMPrW1xk29,19268,348,False,False
2023-01-14 14:13:54+00:00,@AjShabeel Nigga what u doing here,2350,16,False,False
2023-01-14 14:11:22+00:00,MANCHESTER UNITED ARE ON SMOKEY SETTINGS OH MY,8197,375,False,False
2023-01-12 21:21:37+00:00,"Looooooool i know the studs were high but the impact werent wild, meh what do ik",2065,13,False,False
2023-01-12 21:18:29+00:00,Nah thats a soft red card,11707,181,False,False
2023-01-11 15:55:42+00:00,@ohnosharky Oh theo baker walaalkiis,197,3,False,False
2023-01-11 15:52:51+00:00,@ohnosharky YESSSSSSSSSS,474,3,False,False
2023-01-09 21:23:29+00:00,Proud of my boy @ishowspeedsui ❤️,26517,220,False,False
2023-01-02 19:15:08+00:00,What’s happened to Liverpool genuinely?,24831,562,False,False
2023-01-01 00:03:57+00:00,"2023, may Allah make this a year full of blessings, more success and more happiness for all of us! Ameeeen ❤️",34788,3141,False,False
2022-12-31 00:34:11+00:00,@ohnosharky More life walaalkey ❤️,1349,5,False,False
